Title,Source,Published,Target Accounts,Link
Interpath open to M&A after Bridgepoint takeover - Private Equity News,"""""SDC Capital Partners"" OR ""Bruckmann Rosser Sherrill"" OR ""Golden Gate Capital"" OR ""H.I.G. Capital"" OR ""Riverside Company"" when:2d"" - Google News","Thu, 29 Jan 2026 14:23:32 GMT",Bridgepoint,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTDB5RTN6VWtRWjE5d3NMVkh3Y0l6NkFrWVdMa2hrT0t5MmJZUjRrNURRSlgyWGVFaUZDRE5MbENVaTZPUm9KUTdPY3FMOHF2UXJtVF9Da0NXV2tJWG1NSG9IMFpXRGNsc1BFQTJLbVhwbkFHTjMyWm8zSXZUTHRqM1pTbHkzVjlXTmFxRE91WWhiQWPSAZgBQVVfeXFMTUgxOUtqZWE0RTM3V29RV2VBSEVXS3BXM0RhNFZMeTA3VlZQWjhZZVh5RHZTLXp3OGh2UjdFeU1VNmdaLWdjWHI5bUFXei16bTRSNFVxMTdhUFcta01kTGdXaEU2eGhLQjVEUTJlWnkzaDk5bzBiNmhsM3g5bDJiTFJTeUpsb1NHUEM2M2VxTzdtMW1CbkxrTmc?oc=5
"GTCR, Vista Equity back dental care M&A; Secondaries now foundational, not optional, says West Monroe - pehub.com","""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 04:32:55 GMT","GTCR, Vista Equity Partners",https://news.google.com/rss/articles/CBMiugFBVV95cUxPcnAwZHpDZnVaNnJaYWZyUjBFWEtIRTdsVzQ3U2UwRkM2Wm5wOUxNRHlmN3JiUjVEMG9remhkQ2pDc0hTeVktNGxyUzMyUldvSm8wWEVrLWY0UjlWdGd1XzlwZ1h4Z2tJWmNOUlEyejZwNUNKNmpKLUtBMThtbGczUXNWRUJGY0VidWExVDFWV2lsZE1uVVlhYU9uQ1Z0WmpaWW9YcXo4bnQ3ZGNDOUtCTlFmemxxd3hpVEE?oc=5
Bain Capital and Blackstone advance in Vitabiotics bidding process - EasternEye,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 10:02:51 GMT","Bain Capital, Blackstone",https://news.google.com/rss/articles/CBMigAFBVV95cUxOR2RzRVhDaUd3SDdfTmdYeTBPbHhDSU4yQU5HWGFIYl9DbUd1N3VsSXIybEgyNWNoa01GSU5aTTY0WW5aVGd0c1JrbkF6ZENqaEYxVTM5VHJTd0JNQVVYdjBMdmF1NzQ5bkFhelZkdkttMWtoeDdIQlpITVNFSFNzRQ?oc=5
"Spring Health Joins Forces with Alma, Expanding Access to Precision Mental Health Care - Thoma Bravo","""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 01:59:33 GMT",Thoma Bravo,https://news.google.com/rss/articles/CBMixgFBVV95cUxPOGxsQVVoajVOWGF4STNVREROendscmw3VUZqUEVYMXZwV0dadFNlTHZFWkxtVkVMRVJNUkVSekU1bUVwd050TVVEdmJNQjZ5dXBYa1oyRFIxaUpQVEhmNURnaHpoWnB5bWlsbXZmdnBGVnJnbkk1TjhRaXZVV3pXTW91UGg1dGF5eFlSOXdXbUVfa1J5dGNMUVhLQk54MkE5ZVpXMDBpb28wUEpNNTllc0t5RnhpQUFOd1RiVDZFSFFZSzdxS0E?oc=5
UK's Pinewood surges on $792 million deal talks with Apax Partners - TradingView,"""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 08:43:23 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi0AFBVV95cUxONmZVeXNuc3J6aHRUbl94VEtHSjA1NmtXRzRZa0xpc1pOUXFzTnd2eTV1TFJlQk1rY0JOQ2ZkenBENE1jZlhyQ0RXeG9ySTZIQXMxYmNORlhpZFVfdVMyY0psWUpSZE9mTnFkQUpUZ082d0o3NzdpN1FZRFhGR0Y5eUk3OHVYdTI4RUVDTVJ3MU5CS3d1UktLd2JjV0dCY1Z2elVSY1BxS2JtUHVZNmJRX3hqd3hKMW1ZbTdwY3F6T3F2enFhRGJtM2hyOTlwRWZa?oc=5
Private equity firm Apax in talks to buy Pinewood automotive software group - motortrader.com,"""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 09:50:04 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQM2VoTUNFWThQRU9adks1VlVkSFl5djJyOGVFMU5sOUFKbElCN3JmVWd3aUJKR2c1OC1qQXptTkNKNU92bW1nQ3FvTTQ0LThzMnBRVkctZWl5RXVCQ2pNMTdOTzA2Z0dfZ0d6dmplMDc0dXVNMmlsbGdiT2JBZ2pBeWNYSWZEUk1kTFdxNWlrM1BqVU9RTTNidXFBVXZFa0ZUV2w4QVdiMklQem1SbUZOQlpEcDBTektuOFpYRk5hYUstdl93M1VSTUFUYkN6T0xwSUI0X3ZQYl9GNEJKbUJ0WnNR?oc=5
US Carlyle Group agrees to buy Lukoil's global assets after sanctions pressure - MSN,"""""Reverence Capital Partners"" OR ""Sun Capital Partners"" OR ""LLR Partners"" OR ""Carlyle Group"" OR ""Gryphon Investors"" when:2d"" - Google News","Fri, 30 Jan 2026 10:27:16 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMixgFBVV95cUxPMUYxZWhZUThlaHNiSEhFeU9IUnBKZ0I1WktVVTlfVnBHOUV6UlpFa05fWFJ2a2dxX0xlSEZFa2JxV3hYdGtodmZfQ000V1VsdVg3c21VVEg3QzJWV1BUT0NPajdDUjNoVnNIczZqSlBkdjliLWIzMXAtUUhkMlE2OEpZeHliSkV5ZVZkVUZQVWswbUduT3FRVUxEYzNiUnZJQzFtYkZkdzhDODY3enhCLWxOanViVlh0dzEwaFdSM3p4SUp3cHc?oc=5
Key facts: Carlyle Group to acquire Lukoil assets for $22B; sells Iwasaki - TradingView,"""""Reverence Capital Partners"" OR ""Sun Capital Partners"" OR ""LLR Partners"" OR ""Carlyle Group"" OR ""Gryphon Investors"" when:2d"" - Google News","Thu, 29 Jan 2026 20:04:08 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMizAFBVV95cUxOXy1STlpwcnhGWlhIS1RrRXFuQjdmRU1yU3A5V1pyOG5jNGJKY3dYd1o4amZ1ODA2ZTZVUmtLLUM4Vk5OdTNvcUh3cmpmRnJaeFBWZ1E0bHBFdk5zeVZ3ZFdray1TZGlQN0EzNUF2TVVFdThFN0JpMGVfYmQ4dGIzS2ZabWxvOXFCMHp3VDg4ckNqald6S3g0eUcwekVnZFhPUW15V2wxbjFMY0Z1am95UWhleGU2bDNUbmtEWkFzeEZUVFhMejVKOWgzZGs?oc=5
Carlyle Group moves to acquire Lukoil's $22 billion global portfolio under US pressure - Moldova 1,"""""Reverence Capital Partners"" OR ""Sun Capital Partners"" OR ""LLR Partners"" OR ""Carlyle Group"" OR ""Gryphon Investors"" when:2d"" - Google News","Thu, 29 Jan 2026 20:03:45 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMiQEFVX3lxTE9WbWhucmdHVXdRMTdGMURDSzBhbDJVZUlpcXFPTmtUaV9PVC14QjBQZFFJcmJYem16eEhtY3dMdkY?oc=5
KKR Shifts From Industrial Logistics To Global Sports With New Deals - simplywall.st,"""""Sycamore Partners"" OR ""KKR"" OR ""AURELIUS Group"" OR ""BGH Capital"" OR ""FSN Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 06:38:09 GMT",KKR,https://news.google.com/rss/articles/CBMizgFBVV95cUxPeUxoOVFFYzl2N3N3MTlJRThlSmMzcWJYTHVUUEstVjN2MDJUaW8zVnlReXM3YWJLenQ3ZUhPRWhRSE9ycjZlNUdnTThfeEVuMjhteVlpZWF1bVVvVlAteDJnNVljMVpEM2d3U3Z4YWk2Sk9ySGd3UFRqMDB6VlU4eFRxVEQ0ZW1CbGVSaGJQczYtWTRDTlpSUW5zVTNIQ0pseHJqREQ2aVlQRGNJemExSUoxbzZReFlDRnB5WmtTRlVUQmVpX3RVd0R1U1JyZw?oc=5
