Title,Source,Published,Target Accounts,Link
Interpath open to M&A after Bridgepoint takeover - Private Equity News,"""""SDC Capital Partners"" OR ""Bruckmann Rosser Sherrill"" OR ""Golden Gate Capital"" OR ""H.I.G. Capital"" OR ""Riverside Company"" when:2d"" - Google News","Thu, 29 Jan 2026 14:23:32 GMT",Bridgepoint,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTDB5RTN6VWtRWjE5d3NMVkh3Y0l6NkFrWVdMa2hrT0t5MmJZUjRrNURRSlgyWGVFaUZDRE5MbENVaTZPUm9KUTdPY3FMOHF2UXJtVF9Da0NXV2tJWG1NSG9IMFpXRGNsc1BFQTJLbVhwbkFHTjMyWm8zSXZUTHRqM1pTbHkzVjlXTmFxRE91WWhiQWPSAZgBQVVfeXFMTUgxOUtqZWE0RTM3V29RV2VBSEVXS3BXM0RhNFZMeTA3VlZQWjhZZVh5RHZTLXp3OGh2UjdFeU1VNmdaLWdjWHI5bUFXei16bTRSNFVxMTdhUFcta01kTGdXaEU2eGhLQjVEUTJlWnkzaDk5bzBiNmhsM3g5bDJiTFJTeUpsb1NHUEM2M2VxTzdtMW1CbkxrTmc?oc=5
"GTCR, Vista Equity back dental care M&A; Secondaries now foundational, not optional, says West Monroe - pehub.com","""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 04:32:55 GMT","GTCR, Vista Equity Partners",https://news.google.com/rss/articles/CBMiugFBVV95cUxPcnAwZHpDZnVaNnJaYWZyUjBFWEtIRTdsVzQ3U2UwRkM2Wm5wOUxNRHlmN3JiUjVEMG9remhkQ2pDc0hTeVktNGxyUzMyUldvSm8wWEVrLWY0UjlWdGd1XzlwZ1h4Z2tJWmNOUlEyejZwNUNKNmpKLUtBMThtbGczUXNWRUJGY0VidWExVDFWV2lsZE1uVVlhYU9uQ1Z0WmpaWW9YcXo4bnQ3ZGNDOUtCTlFmemxxd3hpVEE?oc=5
Bain Capital Specialty Finance issues $350 million in 5.950% notes due 2031 - Investing.com,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 23:01:00 GMT",Bain Capital,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPTkk0dFI4RlczektnbzNJWFBaYnQwMWVQZE9RMGYzYnlXUmx3U3pGSHNlX096VUxCcTJ3S1B0dEctcHdxWXc4emNWc0pXcWZQRzhLTkdYM0FhM3J0VHJvYU5wMFpkckNfdFduMUpMbFJKcnBVUEtEbDQwXzZyMmtla0ZwNC1TbXVkQzhtc1UtdXdCVFk2QkNxZV9YX09JOUh0VnljTjhMQldzQmlvQ1JBYi0yRkEtVG40UkdMSTRuYlZZR1RWUWRLa3A3UFlRbEJ5UkE?oc=5
Bain Capital Specialty Finance Issues New Senior Unsecured Notes - TipRanks,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 22:36:04 GMT",Bain Capital,https://news.google.com/rss/articles/CBMitwFBVV95cUxNRTlIM3hMR3dCZDFKR091TFFqQzBnaHJaTGFEbGFabDBLejFiVGpJX2NCTXhJd1FLcFI0T2ctbUI1MzN4MXdIYVhGODJlN0pHTVpmYlFfY21LMkVWYUs3WkxHN0l6UGV2RjVzREhuT3VVUVRveE9rTHdJM240czRBckQ0WVExUTVLdjdYejBZYm16LWwyWXNDbUNKY3FRTDU5NERuUFIwNGY0UDFndUVBU2Zxb0lCV0k?oc=5
Bain Capital Specialty Finance Signs Fourth Supplemental Indenture With U.S. Bank Trust Company - TradingView,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 22:13:00 GMT",Bain Capital,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQN3V2SVNIZEpTRkJhYUZqZHRQQ3dZVklmV3NGZnRhWEFjWlN5U1NZaWxNQlIxQUVZc212Qy1EZ002WXJLd0cwLWVpWXFxSWZTRGRJQTUtTG90M2g0aFFIcHQ5T2sxU3ZCb2tvOHNDOUppUWprZnFXSmo4VWRHbU9jWExDTjVMUW84Z0lpdnRQMGpvVEF2RGItSnhQYk5hQnNoVDZWQTVFUThkLWR6YWJueG1rOFgxMW5raU9rdnVtYThYNXh6cTc2VjFIcmpKUHUwbXNkZnQ0bnlDRG1DVDAxc3J1cFFKSFFUc2pabA?oc=5
Bain Capital and Blackstone advance in Vitabiotics bidding process - EasternEye,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Fri, 30 Jan 2026 10:02:51 GMT","Bain Capital, Blackstone",https://news.google.com/rss/articles/CBMigAFBVV95cUxOR2RzRVhDaUd3SDdfTmdYeTBPbHhDSU4yQU5HWGFIYl9DbUd1N3VsSXIybEgyNWNoa01GSU5aTTY0WW5aVGd0c1JrbkF6ZENqaEYxVTM5VHJTd0JNQVVYdjBMdmF1NzQ5bkFhelZkdkttMWtoeDdIQlpITVNFSFNzRQ?oc=5
"Spring Health Joins Forces with Alma, Expanding Access to Precision Mental Health Care - Thoma Bravo","""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 01:59:33 GMT",Thoma Bravo,https://news.google.com/rss/articles/CBMixgFBVV95cUxPOGxsQVVoajVOWGF4STNVREROendscmw3VUZqUEVYMXZwV0dadFNlTHZFWkxtVkVMRVJNUkVSekU1bUVwd050TVVEdmJNQjZ5dXBYa1oyRFIxaUpQVEhmNURnaHpoWnB5bWlsbXZmdnBGVnJnbkk1TjhRaXZVV3pXTW91UGg1dGF5eFlSOXdXbUVfa1J5dGNMUVhLQk54MkE5ZVpXMDBpb28wUEpNNTllc0t5RnhpQUFOd1RiVDZFSFFZSzdxS0E?oc=5
UK's Pinewood surges on $792 million deal talks with Apax Partners - TradingView,"""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 08:43:23 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi0AFBVV95cUxONmZVeXNuc3J6aHRUbl94VEtHSjA1NmtXRzRZa0xpc1pOUXFzTnd2eTV1TFJlQk1rY0JOQ2ZkenBENE1jZlhyQ0RXeG9ySTZIQXMxYmNORlhpZFVfdVMyY0psWUpSZE9mTnFkQUpUZ082d0o3NzdpN1FZRFhGR0Y5eUk3OHVYdTI4RUVDTVJ3MU5CS3d1UktLd2JjV0dCY1Z2elVSY1BxS2JtUHVZNmJRX3hqd3hKMW1ZbTdwY3F6T3F2enFhRGJtM2hyOTlwRWZa?oc=5
Private equity firm Apax in talks to buy Pinewood automotive software group - motortrader.com,"""""Advent International"" OR ""Nordic Capital"" OR ""Thoma Bravo"" OR ""Astorg"" OR ""Apax Partners"" when:2d"" - Google News","Fri, 30 Jan 2026 09:50:04 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQM2VoTUNFWThQRU9adks1VlVkSFl5djJyOGVFMU5sOUFKbElCN3JmVWd3aUJKR2c1OC1qQXptTkNKNU92bW1nQ3FvTTQ0LThzMnBRVkctZWl5RXVCQ2pNMTdOTzA2Z0dfZ0d6dmplMDc0dXVNMmlsbGdiT2JBZ2pBeWNYSWZEUk1kTFdxNWlrM1BqVU9RTTNidXFBVXZFa0ZUV2w4QVdiMklQem1SbUZOQlpEcDBTektuOFpYRk5hYUstdl93M1VSTUFUYkN6T0xwSUI0X3ZQYl9GNEJKbUJ0WnNR?oc=5
Bain Capital Specialty Finance issues $350 million in 5.950% notes due 2031 - Investing.com UK,"""""GTCR"" OR ""GI Partners"" OR ""Bain Capital"" OR ""Welsh Carson Anderson & Stowe"" OR ""Owl Rock Capital"" when:2d"" - Google News","Thu, 29 Jan 2026 23:13:52 GMT",Bain Capital,https://news.google.com/rss/articles/CBMi1gFBVV95cUxONHFYVTl0OHlsMnp4SzM1SXg2MlF2ZGwwYWdzalNBeFZGZDVYMEttSjUxLTJLYTRRSHRJbW14VFFBZjdyeTZvWWlZYXphSG15SkxtNkkwSjUyZnBPajd0MEx1cUp3b1VfS2NTM2R2OFBYd09IcFRnNzhxdm9YNlhBSjQtY3BTbm5sMUNTQmlpTjRDM3RTVVgwZ3ZhM3dOandjOVM3aTNHNnJOdkx4c1pJdEc4NGZhR1hGc1VsaF94UERlM1pXeERXNERFckFZS2Q5dzMwQ193?oc=5
