Title,Source,Published,Target Accounts,Link
Adicet Bio to Present at the Guggenheim Emerging Outlook: Biotech Summit 2026,Business Wire Advisory/Reminder News,"Fri, 30 Jan 2026 12:00:00 UT",Summit Partners,http://www.businesswire.com/news/home/20260130979631/en/Adicet-Bio-to-Present-at-the-Guggenheim-Emerging-Outlook-Biotech-Summit-2026/?feedref=JjAwJuNHiystnCoBq_hl-SPFJfID-pbHRL5rJiXBiVXA5iVZRovl-KiT8JIL-Zuae3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_OvEIYE_LbbQPYbHnujfSSg==
Carlyle Group Lukoil Acquisition Deal Analysis - discoveryalert.com.au,"""private equity acquisition when:2d"" - Google News","Thu, 29 Jan 2026 19:10:23 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNZ3ZlT0ZOM0YwVFkxU2o3QXlPTzdXWW5zUF9pRGZIV1FES1JkZVB4QWZxQVI0RTBTREJxQmMyc3JfNHZCNm5DVk1zWm5vUzh6NHJyalRuSmxuczVsQUxMMDVBQ3U5OUMxVk81aUJXeGM2eEZGYmVic001Q29saUItRjFtbjNrTG5CUnJN?oc=5
Audax Private Equity Reviews $1.5 Billion Sale Of BlueCat Networks (CORRECTED) - Benzinga,"""private equity acquisition when:2d"" - Google News","Thu, 29 Jan 2026 21:24:00 GMT",Audax Private Equity,https://news.google.com/rss/articles/CBMivAFBVV95cUxPdFJFdjhKQWFvQTQyOS1qUUJPT19FOTlTeGV1dmJfWmR0Zmx5VkRhVFpLNmo2Y0QxQlgxazRSUkFXQ19MeHJQeTc1SENpdUxEVFdwOHdmdGw1dTBkU1hLTVljNFF4Yy1rTDZmZUs5cjFGdW1BSGlULVFkOEpsQjBrRzc5QVpDTzhJZ1ZkSWN2bVA0Nl9nTnk2NkktR3lNcVRpQlJfN05BUUFfQ1hKdmpSYzU0SENZQnYybE9hMg?oc=5
Cambridge Health Group Renews Long-standing Kozyavkin Medical Group Partnership to Expand Specialized Neurological Rehabilitation Across the GCC,,"Fri, 30 Jan 2026 14:05:00 +0000",WindRose Health Investors,https://www.prnewswire.com/news-releases/cambridge-health-group-renews-long-standing-kozyavkin-medical-group-partnership-to-expand-specialized-neurological-rehabilitation-across-the-gcc-302675085.html
Vibe House Brings Heated Pilates Revolution to REP'M Group Franchise Portfolio,,"Fri, 30 Jan 2026 14:03:00 +0000",Permira Advisers,https://www.prnewswire.com/news-releases/vibe-house-brings-heated-pilates-revolution-to-repm-group-franchise-portfolio-302673960.html
Interpath open to M&A after Bridgepoint takeover - Private Equity News,"""private equity buyout when:2d"" - Google News","Thu, 29 Jan 2026 14:23:32 GMT",Bridgepoint,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTDB5RTN6VWtRWjE5d3NMVkh3Y0l6NkFrWVdMa2hrT0t5MmJZUjRrNURRSlgyWGVFaUZDRE5MbENVaTZPUm9KUTdPY3FMOHF2UXJtVF9Da0NXV2tJWG1NSG9IMFpXRGNsc1BFQTJLbVhwbkFHTjMyWm8zSXZUTHRqM1pTbHkzVjlXTmFxRE91WWhiQWPSAZgBQVVfeXFMTUgxOUtqZWE0RTM3V29RV2VBSEVXS3BXM0RhNFZMeTA3VlZQWjhZZVh5RHZTLXp3OGh2UjdFeU1VNmdaLWdjWHI5bUFXei16bTRSNFVxMTdhUFcta01kTGdXaEU2eGhLQjVEUTJlWnkzaDk5bzBiNmhsM3g5bDJiTFJTeUpsb1NHUEM2M2VxTzdtMW1CbkxrTmc?oc=5
EQT Nears Up to 650 Million Euros for Second Venture Fund - facilitiesmanagement-now.com,"""private equity buyout when:2d"" - Google News","Fri, 30 Jan 2026 11:27:35 GMT",EQT,https://news.google.com/rss/articles/CBMiswFBVV95cUxPSHJLa1hvbUpyb2NMSEFaNVR6b3I5b0x5M2ticG5ONmoya256Y3FLZ0J1ejIwTWlhYVVEQmE4Wk92d0dITS0xc20zcWt3UHdsVFJ5MXhyd2x1RDVQbkc5UGt6R3k5Qlo2bW5ZTG13YjQ5czhRbnhZek5qeDM4eVRtOGZYU1AtaG1qcHRRd011bUVFVUY5UWFtaTRhSGhaYVIzNzJNaERNZkFnaF90Um1ySUhFQQ?oc=5
CVC Billionaire Leaving Britain Shakes Up London Family Office - Bloomberg,"""private equity buyout when:2d"" - Google News","Fri, 30 Jan 2026 11:24:40 GMT",CVC Capital Partners,https://news.google.com/rss/articles/CBMixwFBVV95cUxOeFFYTDJwQ0FTSDFZS0lTaFE3OEtZeU1tYXNCOWJtNHJWVThLNDl0LTcwRVRpWUI0bkpHRDgyVURsd2ZNS1ZzWFJIZWlXUmY2MWdNRVY3c3pYUm5hOVZuMHpON0RITDZnTVRfRS1XQkpjLWRTUVpITWVQNHNTYkJtRUx1NU1aV0hLWkFwZ1MydHJ0bktHMzE2UmNsLS03eW5vUG9kNFhyeTVCRFVHQl92cGpsbzl5TmtIdmEwUTNaRTRrTS0ydkow?oc=5
Permira Buys Stake in Fund Platform Carne at €1.4 Billion Value - Bloomberg,"""site:bloomberg.com private equity when:2d"" - Google News","Fri, 30 Jan 2026 07:30:00 GMT",Permira Advisers,https://news.google.com/rss/articles/CBMiswFBVV95cUxORDRMajRnTmd2cVJ2cVBFdFBfUVZma3JiVnV4VUFQamQxQVlNcnN3YUt6MDROM1dENmwtVVhNdEJlRjFfVzBqQTJVMnhyaURvM1R4Mm1fZGpMUXJLX2VDVi1zSEdHY1pRNFUycUJEcFI2ZmZxeW51STMxYTNYbnBrZU9YNlk4VUJvR0x6MjJoelNUZjRBZEI2YndFSjFwRTZIR3I4WUhjVFVEYUtxeWMzX0dySQ?oc=5
New World Shares Jump as Blackstone Is Said to Be in Stake Talks - Bloomberg,"""site:bloomberg.com private equity when:2d"" - Google News","Fri, 30 Jan 2026 02:23:00 GMT",Blackstone,https://news.google.com/rss/articles/CBMitgFBVV95cUxNeUJ5MUl0X1VkZmplU3FOQUplbzlWRlJBdEV2RWd2S2lLb01CRU9kbFdsWHpmd195bWdmaHJ4ZnA0d2tqelNLZjdlM1Brbi11YTZRNVJ6VFJBdVJ1bXhDc0xDWjJDREhUS2NKWC15M1p1QXI3T0RDMmJMbUcxd1BuazY1dWhfdEtUYzdRcVZ3MjVFRnlUdmk1czl3T2V5VG5qa3ZrUGk3VFhMbTNSbUREd01Pb3JMQQ?oc=5
