Title,Source,Published,Link
Eden Mobility on the move with latest acquisition - Foresight Group,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:43:47 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNSXNwZ2dHNnpuUzBCVHNIT0Z0UEZjT3lQQVlTZGNKT3JUZ29JWHF3SHZ5dHhaZVUtdnRmdm5YZVhJZVZJNFJyVFF1aUdzOTdoQWNNQi1fU1J2UFUtbk1nUTBKN2FmVUhVb0JHdXhzSXB2REJURFNzajBac0ZYOUtkWUd6dWVMSjhleEJiLVhoY3gzcjZpV0ctaFIzMlFvallWSzZ4ZElfZUJyMnUwajRYR2o4Zk1zZmgyX1kw?oc=5
Wren Sterling expands in South West with Brunsdon acquisition - Money Marketing,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:41:08 GMT",https://news.google.com/rss/articles/CBMiogFBVV95cUxOYUo5VHZPS2tEMjdsVTVkZWRXb1ZEV045NVZHMDJRaXAyejRCTkFabldib2xnd0Q5ZlZKTVV0RzJjTTVrZWZya0Fjdm96TDNmUXBUZHV1NG5xYmFWN25ERmRBanNLYjQyMERjdDBQaFpSVUxIaUdxaVlQSjFNRFlkR0RacklNNmQyZXc3cDNlcFRjdmxLNm9UOHhiNmhmUHpPYXc?oc=5
Ingka Investments completes forestland acquisition in the Baltics from Södra - Ingka Group,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:01:27 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxQal9PdFlxdUtuSmhrQXNwR3ZHUEJiYnlMcWZDZlRvMTQ2RHpITEVMM3hQUGxTeGo2WnAyT2dIMGFsaDR6RnZsbmRlZ0NhUjhYNWZzNE5PQ0NHYklZN3BoQ1hIaHQ2WFRDak1HdERhdGxzNGJCeUtIYjFmWWpsS1U3eHVXc0J4VkpiSTVxMzJ5MWtiNWt4QnY2Ym1fU0hjRmg3YmhIOGJMZ0ZvaElB?oc=5
Strategic acquisition sees Wren Sterling strengthen South West presence - eastmidlandsbusinesslink.co.uk,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 10:37:22 GMT",https://news.google.com/rss/articles/CBMixgFBVV95cUxPV3pOSUc5Y0dSc0dYTFBZRC1US0x2NmZINkxxcENJZHYzRUx0dEtJZE5zbGxCM0pOWTFYRWdnWW1mVnhUNUdkdi1XUzFnYUV1T2ZYaEtTM3BGTFBwWG5zajVrY2JRbVVoTTVGNzNjT0cxN01UTkZxd1RaWmZmRGJUOTJtd0RvZG5pNGJxMEFES1ZIMUhab0FySWtUTmpzRlQ4ckw1QjNBdk44TkRZXzhWQklQbkRFM1BRZjVHLWVzR3JHWEZVdHc?oc=5
CMA CGM completes Freightliner acquisition - RailFreight.com,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 07:37:40 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxNNDlHWURkd1VxTlFMaHBXWDd1aE02dEdLeFNNRGs0blFEdFBGdEdlMDFkVzRaRWt6NkpNUWFNSThLT2VyY2tVeEdOMWVRM1dlREZBeDF1MHRxX1dhX2pyVV9KVG5WbkF3b0VkdU55WnJsdDduVzd1Z04zUktiR2JZY0F4NlBrLTdwbE03VjJfcWUxQWF2R3c?oc=5
CMS advises Bechtle on the acquisition of RIS 2048 - Iberian Lawyer,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 13:05:05 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxQNF9CTnlwV1pLOEtCUzM5YnN2UHZjY1VVWkRxcmFGM2k3UWlsTEFaakxNeEJTVVhocjA4Ym95ZklXZG0yVnJQekJhTEt0UFpSREZYMGN0TVpDTldrbklKcG9DTTBIOXdvamI5Qi1oMUl3Q2ZRY1pZWTJxM0VCTW9fWHFQZw?oc=5
IWP acquisition transforms Titan Wealth’s client and adviser proposition - IFA Magazine,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:45:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxOX0tTaUJrbUVYLTdQZXFKRjJHQXh5bVNVY2p2UmxWY3czSkVZbHlqdF9ic3FnbDQ1bmluWExBY0VmY3o2XzZFMkoyZ0dCd3FUSjlTc0tSSF9lcUxoWGdiYU9LNlNUcTBZdGFDZ0FJRDFQbnV4QkJXM2Izdkdvc3Q5MVVTaWdSRktjWFNZOUo5NHZhRmpMUkZpOW1EMHE?oc=5
AUB Group Expands UK Platform with Majority Acquisition of Prestige Insurance Holdings - Claims Media,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:44:51 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxONkxEeDFOTXBGOXRheVdlQ0I1aGhhRjFnZ2JqZnVzM3VMZHpRWnJ3Y0pqZk5wei1IV0JjTjdTOVRGcGdJODB0NmF2ZWxqYzVid0hyUnpoUTcwZTVZd1p6MndMMVUxTUItQjFUZlJGdk9paFpVcDFMWUVIZkQyTWt2dndCQzE2QWpBOG9LQnUybHM5NDgtRXQ0RUpySUtqakY0LVRGSjBKaWplVUtHbkpuX0J2T2EzOXNTbENz?oc=5
MCR Property Group Expands Portfolio with Parham Student Village Acquisition in Canterbury - Global Student Living,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 09:40:46 GMT",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQT2NXcDBSRXRfbDBuUnlsaGZfY1VUZ0J3X05OTkYzYURCWlpCTFh3TlhoTW16bnJhSEZvTy1uMmNhS3FzcVBDS3dJVU9LblpMb0xjV1pfUkFWOVZsWnpyZFowQ2c3ZWkxTkFlLWJUQVN3OTViWnRSZW4tVWFKVnZUQkxjUkhuODJnQXEzX1B3bkd6M2xjN3ZzR0p0eDhzUmVub1l4QVRncGN4UHkxS21MZGhYLXE1LUoybkpTZDRXWlZRUQ?oc=5
Çelebi entered Kenya with acquisition of Transglobal Cargo Centre - Airside International,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 12:19:13 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxQRzR5eXNDZFh2SVNvZHlFUUJ3eEk5a3FOVV8zQXltWVpvdk9FLVFaMk0xTUpUWTRaTVdiMWlaeDE5cFFvT05LUjJ6Ui14R0JwOER3b0o5aWpPNlU3Q3NoN1JyU3hPUU9QT1BiNlNMcWh2ZUZZUkFvQ2tBbXBkc0FWTkwzSE1ZR0MtZUxwdnBTREtEWTBXOTZiLU1QWkprVHVMQnM0Mk0tSEtsUElHUWdZ?oc=5
