Title,Source,Published,Target Accounts,Link
Adicet Bio to Present at the Guggenheim Emerging Outlook: Biotech Summit 2026,Business Wire Advisory/Reminder News,"Fri, 30 Jan 2026 12:00:00 UT",Summit Partners,http://www.businesswire.com/news/home/20260130979631/en/Adicet-Bio-to-Present-at-the-Guggenheim-Emerging-Outlook-Biotech-Summit-2026/?feedref=JjAwJuNHiystnCoBq_hl-SPFJfID-pbHRL5rJiXBiVXA5iVZRovl-KiT8JIL-Zuae3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_OvEIYE_LbbQPYbHnujfSSg==
Blackstone Secured Lending Announces Fourth Quarter and Full Year 2025 Earnings Release and Conference Call,Business Wire Advisory/Reminder News,"Fri, 30 Jan 2026 11:50:00 UT",Blackstone,http://www.businesswire.com/news/home/20260130701166/en/Blackstone-Secured-Lending-Announces-Fourth-Quarter-and-Full-Year-2025-Earnings-Release-and-Conference-Call/?feedref=JjAwJuNHiystnCoBq_hl-SPFJfID-pbHRL5rJiXBiVXA5iVZRovl-KiT8JIL-Zuae3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_OvEIYE_LbbQPYbHnujfSSg==
Antero Resources Debt Deal Reshapes HG Energy Acquisition And Risk Profile - simplywall.st,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 11:39:40 GMT",Hg,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNdldtbl9GbFE4bER3Z1J1Njh3ZHFNeFVCczBTSXJFaWkxbEZBaWY1MWFTNWJVY1VtaUdqNzlCekNUd2hPVjd6LVd2SWNYZUQ1akNJTFF6elB3N2dOVm9VUWFmLVNkQWlCTEdQSDF6T3BWQUhNQTJpZG9FeE9FNW52alFwQnQ5Y3h2UHFMMlNoSU83d25WM05IRXQ2NWd5RTAtOEFfNWNhaHpzN3A0bE5zaHhkV3p6cVpKazFVamttSmNOT1Z3ekxDSQ?oc=5
Francisco Partners Completes Acquisition of Jamf - Yahoo Finance Singapore,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 13:35:00 GMT",Francisco Partners,https://news.google.com/rss/articles/CBMimgFBVV95cUxPVkNvV0VfYTAwb1BsWUYxQ1J6M2tqY0lkQ29fOGw1TGVLY2lGbjBINkxRR3c5MVlEejBDS3FMUnhhMERPQXl2WWs4NHNUWGRPd2g4bFc5Rl9ZVkVsMTI1dTcteWZhbUl2QllpTjZ4Y3lKT012UTVrY3RTeTRuR2paVFZJWThJR1Zta29XdnhXOU9pbGRBSndkbzJB?oc=5
Antero Resources Debt Raise Recasts Acquisition Risk And Capital Structure - Yahoo Finance,"""acquisition when:2d"" - Google News","Fri, 30 Jan 2026 06:15:00 GMT",Kelso & Company,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQUnkyVG45S1pmRnNyZm5fbGNuZFFkVXBEd0dLb1pIR0VFemcwbFdkZEttbVdZeHJoMlQ2R251dXRwRGRkdDZWMS00ejlDYll2bmQ1ODkwelVlX1pZSlVSWjUxcks5YzJESjZMMm9NbmlWY3ZFNzJDbjZaaktSNTFBc0tIeWI2d1p4?oc=5
"What’s New In Investments, Funds? – BlackRock, Partners Group - Family Wealth Report","""private equity when:2d"" - Google News","Fri, 30 Jan 2026 12:36:39 GMT",New Mountain Capital,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOcGdfQkk2dnNPWDBsbEFaMTJKb1NCaVllQVVLYjEtek1wS0k5V2FBbl9XY0I3eC1wRG1OYWVEYXVLbENmZjhrRTk5S05ZTTFBWE93LWZVU0g0eGl2blBVanFkS091MnBZQXZVN0xoNV9za09FZ000UGxQdUVINU1PSWI0RUsxMlN3VVl3b2JrSnhZd3VYRVF2SGVyamxVcmtmdXdZNWRmbTBNMVdEM0JGTmtJaXhkMXJlZHR5LTdNY1ZLX0dhM3hMeGRkYk16YnZIQ2F0Ykl5Zw?oc=5
US private equity giant Carlyle lines up deal for sanctioned Lukoil’s overseas oil assets - Tradewinds News,"""private equity when:2d"" - Google News","Fri, 30 Jan 2026 12:57:03 GMT",The Carlyle Group,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPdUtVMnl2cjhjTDlIYkc3R3AwZExWdEFxUVVQUjJITmE0UDQ2LVlRQlhOQnZnc0FqU0REVXlhNnpsdF9wRFhjY0p3X1NzRU1PQUxKSHhsUmlWSEZlLWdvYkU4TFFjZjBoSmV1bS1HQ2VGcXZxbF9FV1IyZnI5UG5MZ0FwQ3hCNjBlRkRjUVhWV0liYXdUMzQ0RmxhelE1UkVYRUd6eDF0TXE0eGl2dUJ3czZsdnJFRi1DMkN3LVJiWVFqMkdqSnQ0UDcwbWZyRWhuRjV4SS1yZw?oc=5
Blackstone expects 2026 to be ‘busiest year’ for wealth product launches - Private Equity International | PEI,"""private equity when:2d"" - Google News","Thu, 29 Jan 2026 21:55:48 GMT",Blackstone,https://news.google.com/rss/articles/CBMisgFBVV95cUxOcmNLTUZDcjRMQXNqcVlieXZCNXVNVTE5OVBPRm80VVF6YlctdERuRlNxWFNIRVk5MFFJQklNZ1E1R1hGOENLQlA3bVhzdE1aa0hyaUo0MzhJNkFQX0tfU0Jka0xJNFR4QzZiTHgydzJXUExMWXpFU1pGWVJLT1VQUnNjdlQxQ294Z1NVMDVXUzRHdndwdlh6alFDbm4yNGtoVDFPSEZOejdCOEwyWDRmMnNB?oc=5
"Blackstone’s Private Equity and Real Estate Are Bouncing Back. Private Credit Is Fine, Too. - Barron's","""private equity when:2d"" - Google News","Thu, 29 Jan 2026 18:26:00 GMT",Blackstone,https://news.google.com/rss/articles/CBMigwNBVV95cUxQMXF0TnZhcEl2amJYZGlkZUItSlhac1BUSlY2MzVLVWVhbnlGR09qVWF4VEU0Yl8zbE9KWEx3WUNoRlU0X2VQOU10a2did2xvbGJZdkRvN05ZWkdpOWZDdk9zNm1KOGFVYjQ2b0NocjdCSWhlUFFneEV4aEdGMVFGTndKa1Uwd3hKY3p1N19ybWt2a21BZGJkOFFkdFBqYmRyWFUwZnlOQXQ0QTZ3Y3QwaWtZTW8tVEdOS0RHMFdwUG1PdlJZSVB3c0ZLR240YUYwYThLWjctWkdmdGRZNExocVBfcHR0clQ5elZsWHVpQ1A4QjJLbURiNjBvSm9XLTIzSEttMTFlZHktWkU4UDl4LS1OYlFXZDFybDV6NUtNQTVqZm5kQmFHTEIwMW13bjVSenlUY2dsbHRRSmota083NGVqd01HX3hhbnBod3VDS2tnZXBoaU5mVlZmc2wzYzVOSjNiUFphZGxBcGxMQ1pDMzVZQzVCS2hiallkcy03Qkc0a1k?oc=5
Private equity firm Apax in talks to buy Pinewood automotive software group - motortrader.com,"""private equity when:2d"" - Google News","Fri, 30 Jan 2026 09:50:04 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQM2VoTUNFWThQRU9adks1VlVkSFl5djJyOGVFMU5sOUFKbElCN3JmVWd3aUJKR2c1OC1qQXptTkNKNU92bW1nQ3FvTTQ0LThzMnBRVkctZWl5RXVCQ2pNMTdOTzA2Z0dfZ0d6dmplMDc0dXVNMmlsbGdiT2JBZ2pBeWNYSWZEUk1kTFdxNWlrM1BqVU9RTTNidXFBVXZFa0ZUV2w4QVdiMklQem1SbUZOQlpEcDBTektuOFpYRk5hYUstdl93M1VSTUFUYkN6T0xwSUI0X3ZQYl9GNEJKbUJ0WnNR?oc=5
