Title,Source,Published,Target Accounts,Link
French government blocks Eutelsat asset sale to EQT - Financial Times,"""site:ft.com ""private equity"" acquisition OR divestiture OR spin-off when:2d"" - Google News","Fri, 30 Jan 2026 09:28:42 GMT",EQT,https://news.google.com/rss/articles/CBMicEFVX3lxTE9wRHhkdElmWXJlcXdFdkVwaVBoeW5TaXduc3FGMklYZnlMTXRBUHVTVlZpQkFSTy1KT3ptMWZiYnROc3RrQm5oRF9iaTBGbFRIZU01NUMzTnUyZXZzdTBXR0tqSHh5MG96UjZmVC1QQW8?oc=5
CVC Billionaire Leaving Britain Shakes Up London Family Office - Bloomberg,"""site:bloomberg.com carve-out OR divestiture OR spin-off ""private equity"" when:2d"" - Google News","Fri, 30 Jan 2026 11:24:40 GMT",CVC Capital Partners,https://news.google.com/rss/articles/CBMiswFBVV95cUxQYVFmdHc2UkY2dkVEV3ZPUmQ5cEVGc2dUcHU5OWpSR1pTNGhHZG9zM1p5cVpqV2ZDanBONjZNOXZuMS16LVVaMkdtX3F1U0ZCeXhsNnc0aEJaX0NPVGsxMHVUQTU1b2FoYmJrSFlCaTh3Y0xZcTU0Q0VpOXlIMDlKZkhxdVpwSC1UeTJMQkVvUjZYUGlaemh5d0s5UVNma3BqeHdsZmR3TnVvVmktTUZRMWRncw?oc=5
Adicet Bio to Present at the Guggenheim Emerging Outlook: Biotech Summit 2026,Business Wire Advisory/Reminder News,"Fri, 30 Jan 2026 12:00:00 UT",Summit Partners,http://www.businesswire.com/news/home/20260130979631/en/Adicet-Bio-to-Present-at-the-Guggenheim-Emerging-Outlook-Biotech-Summit-2026/?feedref=JjAwJuNHiystnCoBq_hl-SPFJfID-pbHRL5rJiXBiVXA5iVZRovl-KiT8JIL-Zuae3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_OvEIYE_LbbQPYbHnujfSSg==
Blackstone Secured Lending Announces Fourth Quarter and Full Year 2025 Earnings Release and Conference Call,Business Wire Advisory/Reminder News,"Fri, 30 Jan 2026 11:50:00 UT",Blackstone,http://www.businesswire.com/news/home/20260130701166/en/Blackstone-Secured-Lending-Announces-Fourth-Quarter-and-Full-Year-2025-Earnings-Release-and-Conference-Call/?feedref=JjAwJuNHiystnCoBq_hl-SPFJfID-pbHRL5rJiXBiVXA5iVZRovl-KiT8JIL-Zuae3KWq9s9jif-UkBjBsFRyYAbRTSLTc1mgvhPlnaBA55M-oupQnbXnhKsYk8RmHF_OvEIYE_LbbQPYbHnujfSSg==
Interpath open to M&A after Bridgepoint takeover - The Wall Street Journal,"""site:wsj.com spin-off OR divestiture OR carve-out when:2d"" - Google News","Thu, 29 Jan 2026 14:23:32 GMT",Bridgepoint,https://news.google.com/rss/articles/CBMilANBVV95cUxOdEJXdFoxXzN3UnA3N3VveGhpQ01aS0FSenBRLWNoTm1vdkQ2bGZPNkM3YmVGM1FjQ21rUUtqMHRaTVgybW5IYVNRSGttNDdWbkE4OG5TRWN5R092QzhGOEZvdHJoalNjQjRxXzlBR1k5bFh4ZlJybWZuVldQOGEtbEh0b3pRNWNQLTFxVVh0Wjk4RVpUSGFXLW8zS3dGdjRmTm9kcDF0T2NTTUJQWEctVWlmZHZJbV9SV3ZxaDY5dU54aTRVRVpIa2JzZUljdVFLZjAyM0dISXJPMGhDVDdOOGVNeGVyR0cyTFJ0eE9qN1pvMVBmbFlsazdSOW1FX2tsNnlWYUsxT2RUaGczN25MQzVUQlRrSldzei1QRVlHX3RfOXBRNWZtWmIzZmVXdURjMFhFUjNSOXFiUWs1ZVo3ZWNrX0xqOVZqeF92bjI0VjVqMDFIbTR0cDZNSk1lQmc0SVFOMVZwY0tpaE53a1RQRTZZUUFteDdSa1JNZlFRMTlrYUk1dEZGUEl5cUIxTXJDMmp3M9IBmAFBVV95cUxNSDE5S2plYTRFMzdXb1FXZUFIRVdLcFczRGE0Vkx5MDdWVlBaOFllWHlEdlMtenc4aHZSN0V5TVU2Z1otZ2NYcjltQVd6LXptNFI0VXExN2FQVy1rTWRMZ1doRTZ4aEtCNURRMmVaeTNoOTlvMGI2aGwzeDlsMmJMUlN5SmxvU0dQQzYzZXFPN20xbUJuTGtOZw?oc=5
Audax Private Equity Explores Sale of BlueCat Networks | 2026 - News and Statistics - IndexBox,"""""hired Goldman"" OR ""hired Morgan Stanley"" OR ""hired JPMorgan"" sale OR divestiture when:2d"" - Google News","Fri, 30 Jan 2026 01:02:00 GMT",Audax Private Equity,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNVjRmSWdjTEZlQzU3cG5CcGRld1VKN0EyNktna3JGNVlPczZNaVpmODR0ZVlKVzZsNzZLVHRsWU1ydHdvSjg3MFNBWFhIQ2hmNTNOZmVtcTZrU3p4MVpmYnBUZ0NJSF9QTDF4UHVvSzNKZ0dMT3dQbTZaQlBXUWUyOElDbzRlZDMzbU15MDNzZEltQXAyRXBBakNzLXg2N0VMNk1YX2F1bHc?oc=5
Audax Private Equity Reviews $1.5 Billion Sale Of BlueCat Networks (CORRECTED) - Benzinga,"""""hired Goldman"" OR ""hired Morgan Stanley"" OR ""hired JPMorgan"" sale OR divestiture when:2d"" - Google News","Thu, 29 Jan 2026 21:24:00 GMT",Audax Private Equity,https://news.google.com/rss/articles/CBMivAFBVV95cUxPdFJFdjhKQWFvQTQyOS1qUUJPT19FOTlTeGV1dmJfWmR0Zmx5VkRhVFpLNmo2Y0QxQlgxazRSUkFXQ19MeHJQeTc1SENpdUxEVFdwOHdmdGw1dTBkU1hLTVljNFF4Yy1rTDZmZUs5cjFGdW1BSGlULVFkOEpsQjBrRzc5QVpDTzhJZ1ZkSWN2bVA0Nl9nTnk2NkktR3lNcVRpQlJfN05BUUFfQ1hKdmpSYzU0SENZQnYybE9hMg?oc=5
Interpath open to M&A after Bridgepoint takeover - Private Equity News,"""""private equity"" eyeing OR ""buyout firms"" eyeing when:2d"" - Google News","Thu, 29 Jan 2026 14:23:32 GMT",Bridgepoint,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTDB5RTN6VWtRWjE5d3NMVkh3Y0l6NkFrWVdMa2hrT0t5MmJZUjRrNURRSlgyWGVFaUZDRE5MbENVaTZPUm9KUTdPY3FMOHF2UXJtVF9Da0NXV2tJWG1NSG9IMFpXRGNsc1BFQTJLbVhwbkFHTjMyWm8zSXZUTHRqM1pTbHkzVjlXTmFxRE91WWhiQWPSAZgBQVVfeXFMTUgxOUtqZWE0RTM3V29RV2VBSEVXS3BXM0RhNFZMeTA3VlZQWjhZZVh5RHZTLXp3OGh2UjdFeU1VNmdaLWdjWHI5bUFXei16bTRSNFVxMTdhUFcta01kTGdXaEU2eGhLQjVEUTJlWnkzaDk5bzBiNmhsM3g5bDJiTFJTeUpsb1NHUEM2M2VxTzdtMW1CbkxrTmc?oc=5
"HON Q4 Deep Dive: Portfolio Simplification, Automation Momentum, and Margin Management - TradingView","""""non-core"" sale OR divestiture OR ""portfolio review"" when:2d"" - Google News","Fri, 30 Jan 2026 05:35:00 GMT",GI Partners,https://news.google.com/rss/articles/CBMi3AFBVV95cUxObFBmTmtJUldHVllXRXdkRVVydHU3aTNSRGVJN2JnZjVtakVjV01QSFRWanc3RnhORzJjUmJ4M3FENm13TzBFOEFLRGhoc0U1SDdBd1VaRVlQbjVnVmxLUTBhVG5SNFZWVkJ0ZWlaQ21xQ3dxNEVpZTU1TEVPc3MwMWk0aTNqMU8zdEpPWWt4LV9QaGw2OGFpcUFwODg2aURPbEt0UUpMUE02UW02MWFFamh4d081eTBWV3NHS1duRzhXdGRNeDhsNlRDYTNQeVFPekZHQlEwTEdaaTZF?oc=5
Blackstone said to consider selling SG’s Interplex ICT unit for $1b - Tech in Asia,"""""carve-out"" private equity when:2d"" - Google News","Fri, 30 Jan 2026 05:14:00 GMT",Blackstone,https://news.google.com/rss/articles/CBMiggFBVV95cUxOWWo2LTlMaENfNER4NUxYUTFIZWhUa1NEUEY0eFRoT0RNTXNhS1RUeWtOQUVhOUhKN3JHUDdVeF83d0J1TFFRTENhX0lsR2F3WWZNeXdtclJxWHZsaHkwSTNUYW00cTRwLUlINEhQSXNFOVpBVzIyc25vZVIxOS12MXhn?oc=5
Spark completes sale of 75% stake in data centre business to Pacific Equity Partners - W.Media,"""""carve-out"" private equity when:2d"" - Google News","Fri, 30 Jan 2026 06:26:00 GMT",Pacific Equity Partners,https://news.google.com/rss/articles/CBMiogFBVV95cUxOUWdhNlgzTjhyQzJVcDQtQVlueGJnOGY5bWVaSkpTUTBXdGxRNGxFVm42a0kxbC1FSk9WcmI5OXd6ZUJNNV8xWXhlcl9IbG1FQkFnOENSSHBZVHJncmVYbGxmaDlOVjUzdllKdnloLS1HOF9yTnA1aHcyd2N4c3dQeUEySHRfY19BRDVOV1B5eWl5OTNHdG5hdm96MWJ1UzVScnc?oc=5
Private equity firm Apax in talks to buy Pinewood automotive software group - motortrader.com,"""""private equity"" ""in talks"" OR ""circling"" OR ""bidding"" when:2d"" - Google News","Fri, 30 Jan 2026 09:50:04 GMT",Apax Partners,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQM2VoTUNFWThQRU9adks1VlVkSFl5djJyOGVFMU5sOUFKbElCN3JmVWd3aUJKR2c1OC1qQXptTkNKNU92bW1nQ3FvTTQ0LThzMnBRVkctZWl5RXVCQ2pNMTdOTzA2Z0dfZ0d6dmplMDc0dXVNMmlsbGdiT2JBZ2pBeWNYSWZEUk1kTFdxNWlrM1BqVU9RTTNidXFBVXZFa0ZUV2w4QVdiMklQem1SbUZOQlpEcDBTektuOFpYRk5hYUstdl93M1VSTUFUYkN6T0xwSUI0X3ZQYl9GNEJKbUJ0WnNR?oc=5
Pinewood Technologies in talks with Apax for possible £5 per share offer - Investing.com,"""""private equity"" ""in talks"" OR ""circling"" OR ""bidding"" when:2d"" - Google News","Thu, 29 Jan 2026 18:55:17 GMT",Apax Partners,https://news.google.com/rss/articles/CBMixwFBVV95cUxPajIyYlZ1ZTZPbWkycW1oel9Bbi03VEpnam1GSDhLTmhaREVQUUxFQndLWklkRXpXbkprWUVfYVRLU1RPNHUwN3dVbkpiSmFNM3ZOZHZvaHQ3dXZpVXRoMVVJc21BRENLc3VSWXROeFFLc3Y4M0Y0blNZRnFqNGVXMWxnR3o0bmFOR0F4cHNwTmctSWVEQVUxeGtfMHc3V1BGbFI1WGdZRF9TUFktTTVfeE9FeTFUcnlFZHJwODdsenNRVzhjUUI0?oc=5
Carlyle Group in talks to acquire most of Lukoil’s overseas oil assets - World Oil,"""""private equity"" ""in talks"" OR ""circling"" OR ""bidding"" when:2d"" - Google News","Thu, 29 Jan 2026 18:12:50 GMT","Carlyle Group, The Carlyle Group",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQem1udW04MWNpenBhUDVKQjZONEtrX2EyZmk5WlY0M3l5Z2ZaUWZZTDdHTE1RdFYwU1pyYXVwQWlkUlZuMTdjNVZRMGxjdndpYWoxa0VSZi1keGZyWlp4MjN1NXlmdmtnaTdQQ210UU5Rc0o5MHFRUDhocGoxUDA5WnR2cUJQbUpmTlNJQmpUWm8td2JYZG5fUWVBTUxoOHZuQ1FjSmVQdGoyb0k?oc=5
Bain Capital and Blackstone advance in Vitabiotics bidding process - EasternEye,"""""private equity"" ""in talks"" OR ""circling"" OR ""bidding"" when:2d"" - Google News","Fri, 30 Jan 2026 09:52:51 GMT","Bain Capital, Blackstone",https://news.google.com/rss/articles/CBMimgFBVV95cUxPVk93TjhaZTI0Z2F6NlRqQkxwczlMVEVTbVNEaFZVa25MZW1leGE1UGtPSEQyWmFlSk52bE1UNHc0VUNsY2gtZnA1VndXaWxRSnYtSEdFT28yY3FJeUR0WmlRUGtNZW5wX3JtcnFxaVlQdWtYbDllOVpaMGgtekNmSExTNDNrTmxzdUlSTjJZZ3BQaWdXUzFPQTFB?oc=5
